Person_ID,Task_Difficulty (1-5),Task_ID,Person_Skill_Task1 (1-5),Person_Skill_Task2 (1-5),Person_Skill_Task3 (1-5),Person_Skill_Task4 (1-5),Completion_Score (0-100)
A,5,1,5,1,3,3,81
A,5,4,4,3,3,3,58
A,2,4,5,2,1,2,54
A,1,1,5,2,2,1,100
A,3,2,5,3,2,3,71
A,1,1,4,3,1,3,91
A,2,1,5,1,2,2,94
A,3,3,5,3,3,1,65
A,4,2,5,2,2,2,55
A,2,2,5,3,2,2,63
A,1,4,4,3,3,2,82
A,2,4,4,1,2,3,68
A,1,1,4,1,1,3,91
A,3,1,4,1,3,3,77
A,1,2,4,3,1,2,71
A,5,2,4,2,1,3,57
A,3,1,4,3,3,1,75
A,3,3,5,2,3,3,63
A,3,1,5,3,2,2,91
A,5,3,4,1,2,1,45
A,4,2,4,1,3,3,61
A,4,2,4,1,2,1,43
A,1,4,4,2,3,2,81
A,1,2,4,1,1,1,58
A,3,4,5,1,3,3,73
A,3,4,5,1,1,3,50
A,4,4,5,1,2,1,56
A,1,4,4,3,1,1,65
A,1,1,4,2,2,2,85
A,4,2,5,2,2,1,46
A,5,4,5,3,1,3,38
A,1,4,4,2,2,3,73
A,3,4,5,2,1,3,48
A,4,4,4,2,3,3,68
A,1,4,4,3,2,1,73
A,4,3,5,3,3,2,69
A,4,2,5,1,2,1,44
A,3,3,4,3,3,1,67
A,4,4,5,1,3,1,62
A,2,2,4,1,3,1,51
A,4,1,5,3,1,1,80
A,1,4,4,1,3,3,85
A,5,2,5,2,3,2,47
A,1,2,4,3,3,2,65
A,1,1,5,1,3,3,99
A,1,1,5,3,1,1,99
A,1,1,4,3,1,3,87
A,3,2,5,1,2,3,72
A,3,2,4,2,3,2,64
A,5,3,4,2,1,1,54
A,5,4,4,2,3,2,64
A,4,4,5,1,1,1,42
A,3,3,5,3,2,2,73
A,2,2,5,3,2,1,55
A,4,3,5,2,2,3,54
A,5,2,5,1,1,3,58
A,5,4,5,3,3,3,56
A,3,3,5,2,3,1,64
A,1,2,4,2,1,2,69
A,1,2,4,2,2,1,62
A,5,4,4,1,1,1,40
A,5,3,5,3,3,2,60
A,4,1,4,1,2,1,74
A,5,1,5,2,1,3,81
A,4,2,5,2,2,1,49
A,5,1,5,3,2,1,78
A,4,4,5,2,1,3,41
A,5,3,4,1,1,1,37
A,5,1,5,1,2,3,76
A,2,1,4,3,2,3,87
A,3,2,5,2,2,2,63
A,5,3,4,2,1,2,52
A,5,2,5,1,1,1,43
A,5,3,4,1,3,2,35
A,1,1,4,1,3,1,85
A,1,3,4,1,2,1,58
A,4,4,4,1,3,1,62
A,1,4,4,3,1,1,58
A,5,1,5,1,1,3,79
A,5,2,4,2,3,2,47
A,4,3,5,1,3,3,48
A,5,3,5,2,1,1,52
A,5,2,5,1,2,3,59
A,1,4,5,3,1,1,61
A,4,1,4,1,2,3,75
A,3,3,4,3,2,2,66
A,1,3,4,2,1,3,67
A,1,1,5,2,1,3,100
A,5,4,5,2,1,2,39
A,3,3,5,1,3,1,48
A,1,2,4,2,3,1,59
A,4,3,4,2,3,3,59
A,4,2,5,1,2,2,51
A,1,1,4,1,3,2,85
A,5,3,5,1,1,1,40
A,2,2,4,3,1,3,77
A,1,3,4,2,3,1,70
A,2,1,4,2,3,1,88
A,2,1,4,3,3,1,88
A,4,3,5,3,1,1,60
B,5,1,1,3,1,4,39
B,1,1,1,2,2,4,55
B,2,1,3,1,1,4,77
B,3,2,3,2,2,5,95
B,3,2,2,1,2,5,93
B,5,1,1,3,3,4,36
B,2,4,3,3,3,5,75
B,3,3,2,2,2,4,56
B,2,2,1,2,1,5,92
B,2,1,1,1,1,5,50
B,3,1,1,2,2,5,55
B,3,3,3,3,3,4,70
B,2,4,1,3,3,4,79
B,2,4,3,3,1,5,55
B,2,4,1,2,1,4,51
B,2,1,1,2,2,4,58
B,3,2,3,1,2,5,85
B,2,4,2,1,1,4,56
B,3,3,2,2,1,5,61
B,4,3,3,3,3,4,61
B,1,4,2,2,3,4,81
B,2,3,1,2,3,4,68
B,5,1,1,1,1,4,36
B,1,4,3,3,2,4,67
B,2,2,2,1,1,5,100
B,5,1,3,1,2,4,60
B,3,4,1,2,2,5,62
B,5,3,3,1,3,4,38
B,1,3,3,2,2,5,72
B,3,3,2,3,2,5,72
B,4,2,2,3,1,5,82
B,5,2,1,1,3,5,85
B,2,2,3,1,3,4,87
B,5,2,2,1,3,5,82
B,1,1,2,1,3,4,75
B,1,3,3,2,3,5,69
B,1,3,2,2,2,5,66
B,5,4,3,3,1,5,42
B,3,2,3,1,1,5,89
B,4,2,1,1,3,5,88
B,3,4,1,2,1,5,50
B,1,1,1,3,3,4,55
B,3,4,3,3,2,4,61
B,2,3,3,2,2,4,63
B,3,2,3,3,1,5,88
B,3,1,1,2,1,4,51
B,3,1,1,2,2,5,54
B,4,3,1,2,2,4,57
B,4,4,3,1,1,4,41
B,2,4,3,3,3,5,80
B,2,4,3,1,3,5,80
B,4,1,2,1,2,4,60
B,2,4,1,1,3,4,78
B,3,1,2,3,1,5,61
B,4,2,1,2,1,5,85
B,3,3,3,1,1,5,52
B,2,1,3,1,3,4,73
B,4,3,1,1,2,4,48
B,3,2,2,3,2,4,76
B,3,3,3,1,3,5,50
B,1,1,1,3,2,5,65
B,1,3,2,2,2,4,68
B,5,3,1,1,2,5,42
B,3,3,1,3,1,5,75
B,5,1,3,2,2,4,62
B,2,3,3,2,1,4,61
B,4,3,2,1,2,5,40
B,2,2,1,3,3,5,92
B,2,4,2,2,1,4,56
B,3,4,1,1,1,4,52
B,1,3,2,1,3,4,62
B,4,4,2,3,2,4,53
B,2,3,1,2,1,4,66
B,5,3,2,3,1,4,57
B,4,1,1,2,2,4,50
B,4,3,2,3,2,4,63
B,5,2,1,1,2,4,67
B,3,4,2,2,1,5,51
B,2,1,1,2,3,5,58
B,4,2,3,1,2,4,79
B,3,1,2,1,1,4,60
B,1,2,2,1,2,5,99
B,5,2,1,2,2,4,75
B,4,2,1,3,2,5,88
B,5,2,1,3,2,4,74
B,5,3,2,2,2,4,48
B,3,4,3,2,1,4,48
B,5,2,1,3,3,5,82
B,3,4,1,2,3,4,65
B,2,1,2,3,1,5,61
B,5,1,1,1,1,4,45
B,5,2,2,1,3,4,67
B,3,4,2,2,2,4,65
B,1,3,1,1,1,4,62
B,1,1,3,3,1,4,76
B,2,1,1,3,3,4,59
B,2,2,3,1,3,4,86
B,2,3,2,3,1,4,80
B,3,4,3,1,2,5,56
B,3,3,3,2,3,5,56
C,4,3,3,4,3,2,76
C,2,1,3,4,1,2,70
C,2,3,1,4,2,2,81
C,3,2,2,4,3,1,55
C,5,1,3,4,1,2,63
C,4,3,3,4,2,2,74
C,2,2,1,4,1,3,73
C,5,1,2,5,1,1,53
C,5,1,3,5,1,3,59
C,3,4,3,5,3,3,66
C,5,2,1,4,3,1,37
C,2,1,1,5,2,3,58
C,1,1,1,4,3,2,63
C,3,2,3,4,1,1,46
C,5,3,2,5,1,3,82
C,5,2,1,5,1,1,36
C,1,1,3,5,3,3,77
C,1,4,1,4,2,1,69
C,3,4,3,5,2,3,59
C,5,4,2,5,2,1,49
C,5,2,1,5,2,1,37
C,1,1,2,4,2,3,70
C,5,1,3,5,3,3,65
C,3,3,1,5,1,2,90
C,3,1,3,5,3,1,71
C,2,3,2,5,3,1,93
C,2,3,2,5,1,1,100
C,5,4,1,5,1,3,37
C,2,1,2,5,2,3,64
C,4,1,1,5,2,3,45
C,3,2,1,5,2,1,46
C,3,4,2,5,3,1,67
C,3,2,1,4,1,3,75
C,5,2,2,5,2,2,48
C,5,3,1,4,1,1,75
C,3,3,2,4,2,2,75
C,3,1,2,5,1,3,58
C,1,3,2,4,1,1,94
C,1,4,2,4,2,1,73
C,5,1,2,4,3,2,49
C,3,3,3,5,2,2,89
C,1,2,2,4,2,3,78
C,5,2,1,5,1,3,59
C,2,1,2,5,1,1,61
C,5,3,2,5,3,2,83
C,1,3,1,5,1,3,95
C,4,4,1,5,3,2,60
C,1,1,2,4,1,2,65
C,2,2,1,5,2,3,79
C,1,4,2,4,2,2,72
C,1,1,3,5,3,3,81
C,4,2,3,5,2,2,60
C,2,2,3,5,3,2,62
C,4,2,3,4,2,2,56
C,4,3,1,5,1,3,87
C,4,3,1,5,1,3,81
C,1,4,2,4,3,2,85
C,1,1,3,4,3,3,81
C,4,1,1,5,1,3,44
C,4,1,2,5,1,3,59
C,2,4,1,5,2,3,62
C,5,3,3,5,2,1,76
C,4,4,1,5,1,3,46
C,5,1,2,4,2,2,50
C,1,1,1,5,2,2,58
C,1,1,2,4,2,1,66
C,4,4,3,4,1,3,47
C,3,2,1,4,3,3,70
C,1,2,2,5,1,2,65
C,4,2,1,5,1,1,48
C,1,1,3,5,3,1,75
C,2,4,3,4,2,3,61
C,3,1,1,4,1,2,50
C,3,1,1,4,3,1,54
C,1,2,1,5,3,3,76
C,3,3,1,5,3,3,86
C,2,4,3,4,3,2,79
C,5,4,3,4,1,1,40
C,2,1,1,5,2,3,60
C,1,2,2,4,2,2,75
C,5,3,1,4,1,1,69
C,1,4,1,5,2,2,65
C,1,1,1,4,1,1,65
C,3,2,2,5,2,2,60
C,5,3,2,4,1,1,75
C,1,1,1,4,2,3,64
C,1,1,3,5,1,3,75
C,3,3,1,5,3,2,92
C,3,1,2,5,2,2,59
C,1,2,2,4,2,1,59
C,2,4,2,4,3,3,80
C,5,3,3,4,1,3,73
C,3,2,3,4,3,1,46
C,4,1,2,4,1,2,52
C,4,1,2,4,2,2,59
C,2,4,1,4,3,3,76
C,2,1,1,5,3,3,59
C,5,4,2,5,2,1,54
C,5,2,3,5,1,3,60
C,2,4,1,5,1,3,58
D,4,1,1,2,4,2,41
D,4,3,3,3,5,1,69
D,3,1,1,3,4,1,46
D,5,4,1,3,5,1,77
D,5,1,3,3,5,1,63
D,2,1,2,1,4,3,62
D,3,1,2,2,4,3,61
D,5,4,2,3,5,2,78
D,3,1,1,1,5,1,50
D,4,2,1,3,5,1,44
D,4,2,3,1,4,2,59
D,2,4,3,2,4,2,85
D,4,4,1,3,5,3,89
D,2,1,1,1,4,3,58
D,4,3,3,1,4,2,42
D,4,1,2,1,5,1,55
D,4,4,2,2,4,1,75
D,5,2,2,1,4,1,36
D,1,1,1,1,4,3,65
D,3,2,3,2,5,2,60
D,4,2,3,3,5,1,40
D,2,2,2,2,4,1,55
D,3,1,3,3,4,1,66
D,2,4,3,2,5,2,99
D,4,1,1,2,5,1,40
D,3,3,2,2,5,1,63
D,5,4,2,1,5,1,76
D,4,2,1,3,4,1,41
D,2,2,1,3,4,1,56
D,2,2,3,3,4,1,58
D,1,3,2,2,4,2,71
D,3,4,3,1,4,1,81
D,4,4,1,3,4,1,73
D,5,4,2,3,4,3,67
D,5,1,3,3,4,2,60
D,5,3,1,2,5,2,50
D,5,2,2,3,4,2,45
D,5,1,1,1,4,2,36
D,3,4,1,1,4,3,79
D,4,2,3,1,5,2,51
D,5,2,3,1,5,1,44
D,1,1,1,1,5,1,55
D,4,2,2,1,5,2,57
D,1,3,1,3,5,2,75
D,1,4,3,1,5,1,100
D,5,1,1,1,4,3,37
D,4,2,3,1,5,1,50
D,3,3,3,3,5,3,74
D,2,4,1,1,5,2,95
D,2,2,3,1,4,1,52
D,2,1,1,2,4,1,56
D,4,4,2,3,4,2,80
D,4,3,2,2,5,1,51
D,1,2,3,2,5,1,63
D,4,2,3,2,5,1,43
D,3,1,1,3,5,1,54
D,2,1,2,3,5,1,64
D,4,2,1,2,5,2,60
D,5,4,2,2,5,1,76
D,2,3,2,1,5,3,52
D,1,1,3,1,4,3,82
D,4,1,3,3,4,3,68
D,1,4,1,3,5,2,99
D,1,3,3,1,5,2,64
D,1,2,1,2,4,3,83
D,1,4,2,2,5,2,100
D,3,3,2,1,5,3,49
D,3,2,2,3,5,2,64
D,5,3,1,2,5,2,54
D,4,1,2,2,5,1,52
D,2,2,1,2,5,2,62
D,5,3,3,3,5,3,64
D,4,1,2,1,5,3,56
D,1,4,1,3,4,2,95
D,5,2,3,3,5,1,35
D,4,2,1,2,4,3,70
D,5,4,3,1,4,1,74
D,5,2,2,3,4,3,60
D,2,3,1,3,4,3,72
D,5,4,2,2,4,1,68
D,2,2,1,1,5,1,53
D,1,1,2,3,4,2,68
D,4,4,2,1,5,2,88
D,2,4,3,1,5,2,95
D,2,2,3,3,5,2,68
D,3,4,1,2,5,1,88
D,2,4,2,2,4,1,80
D,3,2,3,3,4,3,68
D,1,4,3,3,5,2,99
D,2,3,2,1,4,1,54
D,4,4,1,3,4,1,78
D,2,4,1,1,4,2,88
D,5,4,3,2,4,1,66
D,1,1,2,3,5,3,66
D,5,2,2,2,4,2,49
D,3,2,2,2,5,2,61
D,3,3,2,3,5,3,65
D,4,2,3,1,5,3,65
D,3,4,3,1,5,2,93
D,3,1,2,2,5,3,62
